index,text,kontext,klassifikation.tore_bayern,klassifikation.tore_gegner,klassifikation.phase,meta.saison,meta.spieltag,meta.heim_auswaerts,meta.gegner,meta.tabelle,meta.ballbesitz_bayern,ergebnis.bayern,ergebnis.gegner,offizielle.schiedsrichter,offizielle.kommentator,source_file,sentiment__fine_tuned_german_sentiment,sentiment__fine_tuned_german_sentiment__conf,sentiment__xlm-roberta-base,sentiment__xlm-roberta-base__conf,sentiment__german-sentiment-bert,sentiment__german-sentiment-bert__conf,sentiment__german-news-sentiment-bert,sentiment__german-news-sentiment-bert__conf
35,Seit 2008 hat Bremen nicht mehr gegen die Bayern gewinnen können.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.965,Neutral,0.9076,Neutral,0.9996,Neutral,0.9573
36,Damals standen noch Thomas Schaaf und Jürgen Klinsmann an der Seitenlinie und Buddhas an der Säbener Straße.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.5755,Neutral,0.7723,Neutral,1.0,Neutral,0.9909
37,"Sané, Upamecano und za gut durchgesetzt von Sané und dann zwingt Upamecano C zur Parade.",FC Bayern München,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.5266,Positiv,0.5069,Neutral,1.0,Neutral,0.9316
38,"Über eine halbe Stunde gespielt, der Rekordmeister hat mittlerweile mehr Ballbesitz, aber Bremen bleibt gefährlich.",Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.976,Neutral,0.922,Neutral,0.9992,Neutral,0.506
39,"Immer wieder Dinanma und immer wieder auch Upamecano, der Verteidiger, der bislang hellwach ist und hier eine Grätsche mit einem perfekten Timing auspackt.",FC Bayern München,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9601,Positiv,0.5485,Neutral,0.9954,Positiv,0.9928
40,Prädikat: blendend.,FC Bayern München,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8081,Negativ,0.5273,Positiv,0.8969,Positiv,0.971
41,Passiert noch was vor der Pause?,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9543,Neutral,0.8509,Neutral,0.9347,Neutral,0.6505
42,"Kimmich, Laimer, Coman, wieder Kimmich und dann Musiala.",FC Bayern München,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.8522,Positiv,0.5555,Neutral,0.9855,Neutral,0.5687
43,Nächster Versuch und wieder nicht zwingend.,FC Bayern München,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8247,Negativ,0.5078,Neutral,0.9957,Neutral,0.9056
44,Nicht mehr lange bis zum Pausenpfiff.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9692,Neutral,0.8319,Neutral,0.9781,Neutral,0.6335
45,Freistoß für die Gäste.,SV Werder Bremen,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8534,Negativ,0.5337,Neutral,0.9882,Neutral,0.714
46,Die Norddeutschen gestalten die Partie weiter offen und auch auf der Tribüne hält Werder dagegen.,SV Werder Bremen,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9251,Positiv,0.6275,Neutral,0.9999,Neutral,0.882
47,Eine Aktion gibt es noch in Durchgang 1.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9229,Neutral,0.8725,Neutral,0.9947,Neutral,0.859
48,"Weiser auf Schmid, warum nicht einfach mal drauf?",SV Werder Bremen,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9139,Positiv,0.4969,Negativ,0.9502,Negativ,0.7175
49,Es ist der letzte Abschluss der ersten 45 Minuten.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9902,Neutral,0.8306,Neutral,1.0,Neutral,0.9789
50,0:0 zur Pause.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9387,Neutral,0.8189,Neutral,0.9591,Neutral,0.58
51,Das auswärtsschwächste Team der Liga macht ein sehr gutes Spiel und der FC Bayern muss etwas kreativer werden.,SV Werder Bremen,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9383,Positiv,0.6362,Neutral,0.9799,Positiv,0.9102
52,Beide Trainer nehmen keine Wechsel vor.,Neutral,0,0,1,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9686,Neutral,0.8213,Neutral,0.991,Negativ,0.6257
53,Die 22 Akteure der ersten Hälfte starten auch in den zweiten Durchgang.,Neutral,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9645,Neutral,0.8763,Neutral,1.0,Neutral,0.9855
54,Wer kommt jetzt besser aus der Kabine?,Neutral,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9775,Neutral,0.7838,Neutral,0.6771,Neutral,0.4757
55,Erstmal kommt C aus dem Tor und muss ein bisschen nachjustieren.,Neutral,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9739,Neutral,0.8303,Neutral,0.9997,Neutral,0.9581
56,Knappes Ding.,Neutral,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9766,Neutral,0.7408,Positiv,0.9556,Positiv,0.9504
57,Musiala lauerte.,FC Bayern München,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9267,Negativ,0.5033,Neutral,0.9988,Neutral,0.9164
58,"Was macht eigentlich der 100-Millionen-Euro-Mann, der schon 22 Tore erzielt hat?",FC Bayern München,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8722,Positiv,0.6528,Neutral,0.9551,Neutral,0.5142
59,Harry Kane wartet noch auf seinen ersten Abschluss.,FC Bayern München,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9527,Positiv,0.5548,Neutral,1.0,Neutral,0.963
60,50 Minuten hat es gedauert.,FC Bayern München,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9132,Negativ,0.4992,Negativ,0.6047,Negativ,0.8611
61,"Auch gegen Hoffenheim war der Stürmer lange unauffällig, erzielte dann aber in der 90. Minute noch so einen Treffer.",FC Bayern München,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9481,Positiv,0.6662,Neutral,1.0,Neutral,0.9505
62,In dieser Phase haben die Münchner die Kontrolle übernommen.,FC Bayern München,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9365,Negativ,0.4999,Neutral,1.0,Neutral,0.9678
63,"Bremen hat Mühe, sich zu befreien, kommt jetzt aber über Weiser über die rechte Seite.",SV Werder Bremen,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.8356,Negativ,0.5049,Neutral,0.9991,Negativ,0.6784
64,"Weiser im Zweikampf gegen Davies, Weiser vorbei an Davies und rein damit.",SV Werder Bremen,0,0,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9166,Positiv,0.5714,Neutral,0.9939,Negativ,0.5159
65,"59. Minute, 1:0 Werder Bremen.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9575,Positiv,0.6831,Negativ,0.7384,Neutral,0.4774
66,Der beste Spieler auf dem Platz besorgt die Führung.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9046,Positiv,0.5542,Neutral,0.563,Positiv,0.4718
67,"Es ist eine starke Einzelleistung, ein bisschen halbherzig das Zweikampfverhalten von Davies.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9149,Positiv,0.5178,Neutral,0.9998,Neutral,0.4449
68,Der Rechtsfuß Weiser lässt Neuer mit seinem linken keine Chance.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9483,Positiv,0.5165,Neutral,0.9998,Neutral,0.8109
69,"Zweiter Saisontreffer, aber insgesamt an über 20% der Bremer Treffer beteiligt.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9373,Positiv,0.627,Neutral,1.0,Neutral,0.987
70,Die Gäste belohnen sich für eine starke Partie.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9482,Negativ,0.5173,Neutral,1.0,Neutral,0.956
71,Wie reagieren die Bayern jetzt?,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.7476,Positiv,0.5004,Neutral,0.9691,Neutral,0.5284
72,Man will Druck auf Leverkusen ausüben.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.949,Negativ,0.5184,Neutral,0.9862,Neutral,0.793
73,"Unangenehmer Eckball, 64. Minute.",Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.8958,Neutral,0.9492,Positiv,0.9823,Positiv,0.9826
74,Tuchel hat genug gesehen.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9116,Negativ,0.4964,Neutral,0.7061,Positiv,0.6231
75,"Dreierwechsel: Goretzka, Tel und Müller rein, Guerreiro, Davies und Kimmich raus.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9167,Positiv,0.6474,Neutral,0.8576,Negativ,0.8096
76,Und Müller hat ein paar frische Informationen und Anweisungen im Gepäck.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9333,Positiv,0.5031,Neutral,0.8536,Positiv,0.4322
77,Gute 20 Minuten bleiben dem Rekordmeister noch.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.959,Positiv,0.6237,Neutral,0.9941,Neutral,0.7527
78,Musiala und Jung macht die Szene noch mal spannend und klärt auf Kosten einer Ecke.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9281,Positiv,0.5624,Neutral,0.9078,Positiv,0.9108
79,Und auf die schauen wir jetzt.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9484,Positiv,0.5049,Neutral,0.9782,Neutral,0.791
80,"Goretzka, Kane, aber da stehen nur Bremer.",Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9406,Neutral,0.8967,Neutral,0.5078,Negativ,0.6616
81,Klärungsversuch.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9796,Neutral,0.7845,Negativ,0.8862,Negativ,0.8565
82,Die Münchner setzen nach.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9237,Negativ,0.5235,Neutral,0.9809,Neutral,0.7175
83,"Coman, Musiala, C.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9353,Positiv,0.5421,Neutral,0.9731,Neutral,0.3795
84,Das waren dann endlich mal zwei gute Möglichkeiten für den Tabellenzweiten.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.7882,Positiv,0.535,Neutral,0.9992,Neutral,0.9402
85,"Kane, der ganz bewusst noch einmal nach einem Mitspieler sucht und sich gegen einen eigenen Abschluss entscheidet.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.909,Positiv,0.6047,Neutral,0.9998,Neutral,0.9205
86,Weiter 0:1.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9384,Neutral,0.7535,Positiv,0.8581,Positiv,0.7968
87,Die Uhr tickt.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9847,Neutral,0.7864,Negativ,0.975,Negativ,0.9398
88,Bremen steht weiter tief und lauert auf mögliche Konter.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9361,Negativ,0.5274,Neutral,1.0,Neutral,0.9447
89,Die Bayern im Stile einer Handballmannschaft.,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9623,Positiv,0.6398,Neutral,0.9999,Neutral,0.9557
90,"S und za, der den Ball früh sieht und dann sicher parieren kann.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.8557,Positiv,0.5338,Neutral,0.9999,Neutral,0.9343
91,"10:2, das Eckenverhältnis mittlerweile für den FC Bayern.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9659,Positiv,0.6804,Neutral,0.9999,Neutral,0.8781
92,"Und Keeper ist hellwach, trifft immer die richtigen Entscheidungen und lässt die Bayern langsam aber sicher etwas verzweifeln.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.853,Positiv,0.5505,Neutral,0.7348,Positiv,0.5496
93,"Freistoß, 83. Minute, Sané.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9259,Positiv,0.593,Neutral,0.9936,Neutral,0.9116
94,Bremen kann etwas durchatmen.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.4806,Negativ,0.5287,Negativ,0.6565,Positiv,0.6853
95,Es gibt seit langer Zeit keine Entlastung mehr.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.7654,Negativ,0.5321,Negativ,0.8066,Negativ,0.9097
96,Irgendwie wollen die Gäste das Spiel über die Ziellinie bringen.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9321,Positiv,0.5066,Neutral,0.9959,Neutral,0.7581
97,"Müller gewechselt, Choupo-Moting auf den eingewechselten Tel.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.5008,Negativ,0.4969,Neutral,1.0,Neutral,0.9193
98,"C, Pfosten.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9573,Negativ,0.5065,Neutral,0.9922,Neutral,0.7585
99,Immer wieder der Werder-Keeper.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.7707,Negativ,0.5244,Neutral,0.9982,Neutral,0.8386
100,"Wahnsinn, was für eine Vorstellung, was für eine Partie von Michael Zetterer.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8701,Positiv,0.5459,Neutral,0.947,Neutral,0.5195
101,87. Minute.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9519,Neutral,0.7686,Positiv,0.8795,Positiv,0.8667
102,Bremen muss fighten und Bremen hat jetzt eine Kontermöglichkeit.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9573,Negativ,0.5299,Neutral,0.9965,Neutral,0.8678
103,Weiser hat noch Kraft.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.7641,Negativ,0.5355,Neutral,0.9612,Neutral,0.4545
104,Weiser und von hinten kommt S angerauscht.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9287,Negativ,0.5282,Neutral,0.9998,Neutral,0.7824
105,"Freistoß, sagt Schiedsrichter Fritz.",Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.973,Neutral,0.9308,Neutral,0.9813,Neutral,0.7948
106,Schlussphase.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9558,Neutral,0.7092,Negativ,0.762,Neutral,0.44
107,Gibt es noch das Bayernusel?,FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.8517,Positiv,0.4971,Neutral,0.8446,Neutral,0.5022
108,"Musiala, Tel, der hat noch mal richtig frischen Wind reingebracht, aber auch er kann den Ball nicht unterbringen.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.9218,Positiv,0.5633,Neutral,0.8764,Negativ,0.8221
109,Gibt es den ersten Werder-Sieg gegen München seit 2008?,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.8493,Positiv,0.5999,Neutral,0.9591,Neutral,0.5579
110,Nachspielzeit: 5 Minuten gibt es oben drauf.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9481,Neutral,0.9122,Negativ,0.8377,Negativ,0.5186
111,Es fliegen nur noch hohe Bälle in den Strafraum.,Neutral,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9428,Neutral,0.9109,Neutral,1.0,Neutral,0.9636
112,"Gorka, zu wenig, zu ungenau.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Negativ,0.7917,Positiv,0.4999,Negativ,0.9933,Negativ,0.9876
113,"Die letzten Sekunden, die letzten Sekunden vor der ganz großen Überraschung.",SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9288,Positiv,0.5337,Neutral,0.9977,Neutral,0.7568
114,"Tel, wenn einer für Gefahr sorgt, dann er.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8858,Positiv,0.4964,Neutral,0.9803,Neutral,0.6447
115,"Tel, immer noch Tel, aber das war sie, die letzte Chance der Partie.",FC Bayern München,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.8193,Positiv,0.6112,Neutral,0.9854,Negativ,0.7368
116,Das schwächste Auswärtsteam der Liga ist plötzlich nicht mehr das schwächste Auswärtsteam der Liga.,SV Werder Bremen,0,1,2,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.5366,Positiv,0.6305,Neutral,0.9897,Negativ,0.8804
117,1:0 nach 90 Minuten.,Neutral,0,1,3,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9237,Neutral,0.7598,Neutral,0.9704,Neutral,0.6001
118,Bremen überrascht die Liga und Bremen überrascht die Bayern.,SV Werder Bremen,0,1,3,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Positiv,0.9575,Positiv,0.6167,Neutral,0.9783,Positiv,0.937
119,"Wenn ihr keine Fußball-Highlights mehr verpassen wollt, lasst ein Abo da und schaut mal hier.",Neutral,0,1,3,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9549,Neutral,0.8845,Negativ,0.9364,Negativ,0.465
120,"Hier sind aktuelle Videos, klickt da auch gerne mal rein.",Neutral,0,1,3,23/24,18,Heim,SV Werder Bremen,2,0.72,0,1,Marco Fritz,Martin Gräfe,23-24_S18_sv_werder_bremen.json,Neutral,0.9656,Neutral,0.8439,Neutral,0.97,Negativ,0.5681
0,"Den vielzitierten, zu dünnen Münchner Kader plagen große Verletzungssorgen.",FC Bayern München,0,0,0,23/24,19,Auswärts,FC Augsburg,2,0.58,3,2,Christian Dingert,Martin Gräfe,23-24_S19_fc_augsburg.json,Positiv,0.9026,Positiv,0.5563,Neutral,0.997,Negativ,0.6316
1,"Gegen Augsburg muss der FC Bayern in den schwarzen Trikots auch noch auf Kimmich, Upamecano und Laimer verzichten.",Neutral,0,0,0,23/24,19,Auswärts,FC Augsburg,2,0.58,3,2,Christian Dingert,Martin Gräfe,23-24_S19_fc_augsburg.json,Neutral,0.9227,Neutral,0.9109,Neutral,1.0,Neutral,0.953
2,"Es gibt das Startelf-Debüt für Dier, der mit seinen Defensivkollegen auch gleich mal vom FCA gefordert wird.",FC Bayern München,0,0,0,23/24,19,Auswärts,FC Augsburg,2,0.58,3,2,Christian Dingert,Martin Gräfe,23-24_S19_fc_augsburg.json,Positiv,0.8614,Positiv,0.6212,Neutral,1.0,Neutral,0.5673
3,Nach dem Arbeitssieg am Mittwoch gegen Berlin will der Rekordmeister auch in Augsburg die drei Punkte mitnehmen.,FC Bayern München,0,0,0,23/24,19,Auswärts,FC Augsburg,2,0.58,3,2,Christian Dingert,Martin Gräfe,23-24_S19_fc_augsburg.json,Positiv,0.9504,Positiv,0.6707,Neutral,1.0,Neutral,0.8744
